Academic year,Economic Development Region,Institution,International_Domestic,Headcount
2010/2011,Lower Mainland,University Of British Columbia Vancouver,Domestic,"43,030"
2010/2011,Lower Mainland,University Of British Columbia Vancouver,International,"7,310"
2010/2011,Lower Mainland,British Columbia Institute Of Technology,Domestic,"40,685"
2010/2011,Lower Mainland,British Columbia Institute Of Technology,International,"2,305"
2010/2011,Lower Mainland,Simon Fraser University,Domestic,"28,005"
2010/2011,Lower Mainland,Simon Fraser University,International,"5,670"
2010/2011,Lower Mainland,Justice Institute Of British Columbia,Domestic,"28,665"
2010/2011,Lower Mainland,Justice Institute Of British Columbia,International,145
2010/2011,Lower Mainland,Douglas College,Domestic,"25,100"
2010/2011,Lower Mainland,Douglas College,International,"1,195"
2010/2011,Lower Mainland,Vancouver Community College,Domestic,"23,025"
2010/2011,Lower Mainland,Vancouver Community College,International,630
2010/2011,Lower Mainland,Langara College,Domestic,"19,715"
2010/2011,Lower Mainland,Langara College,International,"1,695"
2010/2011,Lower Mainland,Kwantlen Polytechnic University,Domestic,"17,525"
2010/2011,Lower Mainland,Kwantlen Polytechnic University,International,"1,340"
2010/2011,Lower Mainland,University Of The Fraser Valley,Domestic,"14,325"
2010/2011,Lower Mainland,University Of The Fraser Valley,International,890
2010/2011,Lower Mainland,Capilano University,Domestic,"13,675"
2010/2011,Lower Mainland,Capilano University,International,895
2010/2011,Lower Mainland,Emily Carr University Of Art And Design,Domestic,"4,455"
2010/2011,Lower Mainland,Emily Carr University Of Art And Design,International,305
2010/2011,Vancouver Island and Coast,University Of Victoria,Domestic,"20,450"
2010/2011,Vancouver Island and Coast,University Of Victoria,International,"1,990"
2010/2011,Vancouver Island and Coast,Camosun College,Domestic,"19,060"
2010/2011,Vancouver Island and Coast,Camosun College,International,615
2010/2011,Vancouver Island and Coast,Vancouver Island University,Domestic,"16,650"
2010/2011,Vancouver Island and Coast,Vancouver Island University,International,"1,610"
2010/2011,Vancouver Island and Coast,North Island College,Domestic,"9,760"
2010/2011,Vancouver Island and Coast,North Island College,International,105
2010/2011,Vancouver Island and Coast,Royal Roads University,Domestic,"3,445"
2010/2011,Vancouver Island and Coast,Royal Roads University,International,80
2010/2011,Thompson Okanagan,Thompson Rivers University,Domestic,"24,215"
2010/2011,Thompson Okanagan,Thompson Rivers University,International,"2,280"
2010/2011,Thompson Okanagan,Okanagan College,Domestic,"19,995"
2010/2011,Thompson Okanagan,Okanagan College,International,580
2010/2011,Thompson Okanagan,University Of British Columbia Okanagan,Domestic,"6,780"
2010/2011,Thompson Okanagan,University Of British Columbia Okanagan,International,535
2010/2011,Thompson Okanagan,Nicola Valley Institute Of Technology,Domestic,"1,360"
2010/2011,Cariboo,College Of New Caledonia,Domestic,"10,040"
2010/2011,Thompson Okanagan,Nicola Valley Institute Of Technology,International,
2010/2011,Cariboo,College Of New Caledonia,International,285
2010/2011,Cariboo,University Of Northern British Columbia,Domestic,"3,870"
2010/2011,Cariboo,University Of Northern British Columbia,International,395
2010/2011,Kootenay,College Of The Rockies,Domestic,"12,330"
2010/2011,Kootenay,College Of The Rockies,International,190
2010/2011,Kootenay,Selkirk College,Domestic,"10,450"
2010/2011,Kootenay,Selkirk College,International,285
2010/2011,North,Northern Lights College,Domestic,"9,280"
2010/2011,North,Northern Lights College,International,120
2010/2011,North,Coast Mountain College,Domestic,"7,000"
2010/2011,North,Coast Mountain College,International,*
2011/2012,Lower Mainland,University Of British Columbia Vancouver,Domestic,"43,235"
2011/2012,Lower Mainland,University Of British Columbia Vancouver,International,"8,070"
2011/2012,Lower Mainland,British Columbia Institute Of Technology,Domestic,"40,875"
2011/2012,Lower Mainland,British Columbia Institute Of Technology,International,"1,975"
2011/2012,Lower Mainland,Simon Fraser University,Domestic,"27,635"
2011/2012,Lower Mainland,Simon Fraser University,International,"6,415"
2011/2012,Lower Mainland,Justice Institute Of British Columbia,Domestic,"32,525"
2011/2012,Lower Mainland,Justice Institute Of British Columbia,International,220
2011/2012,Lower Mainland,Douglas College,Domestic,"23,245"
2011/2012,Lower Mainland,Douglas College,International,"1,430"
2011/2012,Lower Mainland,Vancouver Community College,Domestic,"22,580"
2011/2012,Lower Mainland,Vancouver Community College,International,530
2011/2012,Lower Mainland,Langara College,Domestic,"19,730"
2011/2012,Lower Mainland,Langara College,International,"1,635"
2011/2012,Lower Mainland,Kwantlen Polytechnic University,Domestic,"17,805"
2011/2012,Lower Mainland,Kwantlen Polytechnic University,International,"1,435"
2011/2012,Lower Mainland,University Of The Fraser Valley,Domestic,"14,065"
2011/2012,Lower Mainland,University Of The Fraser Valley,International,895
2011/2012,Lower Mainland,Capilano University,Domestic,"13,815"
2011/2012,Lower Mainland,Capilano University,International,800
2011/2012,Lower Mainland,Emily Carr University Of Art And Design,Domestic,"4,015"
2011/2012,Lower Mainland,Emily Carr University Of Art And Design,International,335
2011/2012,Vancouver Island and Coast,University Of Victoria,Domestic,"20,340"
2011/2012,Vancouver Island and Coast,University Of Victoria,International,"2,280"
2011/2012,Vancouver Island and Coast,Camosun College,Domestic,"18,715"
2011/2012,Vancouver Island and Coast,Camosun College,International,625
2011/2012,Vancouver Island and Coast,Vancouver Island University,Domestic,"15,565"
2011/2012,Vancouver Island and Coast,Vancouver Island University,International,"1,625"
2011/2012,Vancouver Island and Coast,North Island College,Domestic,"9,190"
2011/2012,Vancouver Island and Coast,North Island College,International,110
2011/2012,Vancouver Island and Coast,Royal Roads University,Domestic,"3,710"
2011/2012,Vancouver Island and Coast,Royal Roads University,International,170
2011/2012,Thompson Okanagan,Thompson Rivers University,Domestic,"25,210"
2011/2012,Thompson Okanagan,Thompson Rivers University,International,"2,470"
2011/2012,Thompson Okanagan,Okanagan College,Domestic,"19,925"
2011/2012,Thompson Okanagan,Okanagan College,International,495
2011/2012,Thompson Okanagan,University Of British Columbia Okanagan,Domestic,"7,535"
2011/2012,Thompson Okanagan,University Of British Columbia Okanagan,International,605
2011/2012,Thompson Okanagan,Nicola Valley Institute Of Technology,Domestic,"1,475"
2011/2012,Thompson Okanagan,Nicola Valley Institute Of Technology,International,*
2011/2012,Cariboo,College Of New Caledonia,Domestic,"9,605"
2011/2012,Cariboo,College Of New Caledonia,International,340
2011/2012,Cariboo,University Of Northern British Columbia,Domestic,"3,765"
2011/2012,Cariboo,University Of Northern British Columbia,International,460
2011/2012,Kootenay,College Of The Rockies,Domestic,"12,605"
2011/2012,Kootenay,College Of The Rockies,International,195
2011/2012,Kootenay,Selkirk College,Domestic,"10,715"
2011/2012,Kootenay,Selkirk College,International,240
2011/2012,North,Northern Lights College,Domestic,"9,150"
2011/2012,North,Northern Lights College,International,105
2011/2012,North,Coast Mountain College,Domestic,"5,660"
2011/2012,North,Coast Mountain College,International,*
2012/2013,Lower Mainland,University Of British Columbia Vancouver,Domestic,"43,315"
2012/2013,Lower Mainland,University Of British Columbia Vancouver,International,"8,750"
2012/2013,Lower Mainland,British Columbia Institute Of Technology,Domestic,"41,085"
2012/2013,Lower Mainland,British Columbia Institute Of Technology,International,"2,060"
2012/2013,Lower Mainland,Simon Fraser University,Domestic,"27,350"
2012/2013,Lower Mainland,Simon Fraser University,International,"6,380"
2012/2013,Lower Mainland,Justice Institute Of British Columbia,Domestic,"27,740"
2012/2013,Lower Mainland,Justice Institute Of British Columbia,International,175
2012/2013,Lower Mainland,Douglas College,Domestic,"21,935"
2012/2013,Lower Mainland,Douglas College,International,"1,690"
2012/2013,Lower Mainland,Vancouver Community College,Domestic,"21,510"
2012/2013,Lower Mainland,Vancouver Community College,International,535
2012/2013,Lower Mainland,Langara College,Domestic,"18,755"
2012/2013,Lower Mainland,Langara College,International,"1,760"
2012/2013,Lower Mainland,Kwantlen Polytechnic University,Domestic,"17,525"
2012/2013,Lower Mainland,Kwantlen Polytechnic University,International,"1,715"
2012/2013,Lower Mainland,University Of The Fraser Valley,Domestic,"14,645"
2012/2013,Lower Mainland,University Of The Fraser Valley,International,"1,060"
