Economic Development Region,Institution,Academic Year,Tuition
Lower Mainland,British Columbia Institute of Technology,AY 2012/13,17611
Lower Mainland,British Columbia Institute of Technology,AY 2013/14,17963
Lower Mainland,British Columbia Institute of Technology,AY 2014/15,18323
Lower Mainland,British Columbia Institute of Technology,AY 2015/16,18688
Lower Mainland,British Columbia Institute of Technology,AY 2016/17,19060
Lower Mainland,British Columbia Institute of Technology,AY 2017/18,19441
Lower Mainland,British Columbia Institute of Technology,AY 2018/19,19828
Lower Mainland,British Columbia Institute of Technology,AY 2019/20,20223
Lower Mainland,British Columbia Institute of Technology,AY 2020/21,20627
Lower Mainland,British Columbia Institute of Technology,AY 2021/22,19709
Lower Mainland,Capilano University,AY 2012/13,15000
Lower Mainland,Capilano University,AY 2013/14,15750
Lower Mainland,Capilano University,AY 2014/15,16170
Lower Mainland,Capilano University,AY 2015/16,16500
Lower Mainland,Capilano University,AY 2016/17,16830
Lower Mainland,Capilano University,AY 2017/18,17160
Lower Mainland,Capilano University,AY 2018/19,17490
Lower Mainland,Capilano University,AY 2019/20,17853
Lower Mainland,Capilano University,AY 2020/21,18210
Lower Mainland,Capilano University,AY 2021/22,18570
Lower Mainland,Douglas College,AY 2012/13,14400
Lower Mainland,Douglas College,AY 2013/14,15000
Lower Mainland,Douglas College,AY 2014/15,15300
Lower Mainland,Douglas College,AY 2015/16,15600
Lower Mainland,Douglas College,AY 2016/17,15900
Lower Mainland,Douglas College,AY 2017/18,17400
Lower Mainland,Douglas College,AY 2018/19,17400
Lower Mainland,Douglas College,AY 2019/20,17400
Lower Mainland,Douglas College,AY 2020/21,18000
Lower Mainland,Douglas College,AY 2021/22,18360
Lower Mainland,Emily Carr University of Art and Design,AY 2012/13,15000
Lower Mainland,Emily Carr University of Art and Design,AY 2013/14,15600
Lower Mainland,Emily Carr University of Art and Design,AY 2014/15,16224
Lower Mainland,Emily Carr University of Art and Design,AY 2015/16,16873
Lower Mainland,Emily Carr University of Art and Design,AY 2016/17,17885
Lower Mainland,Emily Carr University of Art and Design,AY 2017/18,18600
Lower Mainland,Emily Carr University of Art and Design,AY 2018/19,19158
Lower Mainland,Emily Carr University of Art and Design,AY 2019/20,19925
Lower Mainland,Emily Carr University of Art and Design,AY 2020/21,20722
Lower Mainland,Emily Carr University of Art and Design,AY 2021/22,20722
Lower Mainland,Justice Institute of British Columbia,AY 2012/13,13592
Lower Mainland,Justice Institute of British Columbia,AY 2013/14,13864
Lower Mainland,Justice Institute of British Columbia,AY 2014/15,14141
Lower Mainland,Justice Institute of British Columbia,AY 2015/16,14424
Lower Mainland,Justice Institute of British Columbia,AY 2016/17,14713
Lower Mainland,Justice Institute of British Columbia,AY 2017/18,15007
Lower Mainland,Justice Institute of British Columbia,AY 2018/19,15037
Lower Mainland,Justice Institute of British Columbia,AY 2019/20,15613
Lower Mainland,Justice Institute of British Columbia,AY 2020/21,15925
Lower Mainland,Justice Institute of British Columbia,AY 2021/22,16243
Lower Mainland,Kwantlen Polytechnic University,AY 2012/13,15000
Lower Mainland,Kwantlen Polytechnic University,AY 2013/14,15750
Lower Mainland,Kwantlen Polytechnic University,AY 2014/15,15750
Lower Mainland,Kwantlen Polytechnic University,AY 2015/16,16500
Lower Mainland,Kwantlen Polytechnic University,AY 2016/17,16830
Lower Mainland,Kwantlen Polytechnic University,AY 2017/18,17166
Lower Mainland,Kwantlen Polytechnic University,AY 2018/19,19741
Lower Mainland,Kwantlen Polytechnic University,AY 2019/20,19741
Lower Mainland,Kwantlen Polytechnic University,AY 2020/21,20136
Lower Mainland,Kwantlen Polytechnic University,AY 2021/22,20538
Lower Mainland,Langara College,AY 2012/13,16500
Lower Mainland,Langara College,AY 2013/14,16950
Lower Mainland,Langara College,AY 2014/15,16950
Lower Mainland,Langara College,AY 2015/16,16950
Lower Mainland,Langara College,AY 2016/17,17700
Lower Mainland,Langara College,AY 2017/18,17700
Lower Mainland,Langara College,AY 2018/19,17700
Lower Mainland,Langara College,AY 2019/20,17700
